prediction,ground_truth,diff_ops,error_ngrams
i Ihidige tebenserwartan .,- niedrige Lebenserwartung,"[('insert', 0, 0, 0, 3), ('replace', 1, 5, 4, 5), ('insert', 6, 6, 6, 7), ('replace', 10, 11, 11, 12), ('replace', 22, 23, 23, 24), ('replace', 24, 26, 25, 26)]","[(('ni', 'neutral'), 1), (('ie', 'german-dominant'), 1), (('ed', 'neutral'), 1), (('dr', 'neutral'), 1), (('rt', 'neutral'), 1), (('tu', 'neutral'), 1), (('un', 'german-dominant'), 1), (('ng', 'neutral'), 1)]"
HotLHD Fneligde Testatiedng Hef todes TATTDTTI,Zunehmende Abstrahierung der Codes,"[('replace', 0, 8, 0, 2), ('replace', 10, 13, 4, 8), ('replace', 16, 18, 11, 13), ('insert', 20, 20, 15, 16), ('replace', 21, 22, 17, 18), ('replace', 24, 25, 20, 22), ('replace', 28, 29, 25, 26), ('replace', 30, 31, 27, 28), ('replace', 32, 33, 29, 30), ('delete', 37, 46, 34, 34)]","[(('un', 'german-dominant'), 2), (('ne', 'neutral'), 1), (('eh', 'neutral'), 1), (('hm', 'neutral'), 1), (('me', 'neutral'), 1), (('en', 'german-dominant'), 1), (('nd', 'neutral'), 1), (('bs', 'german-dominant'), 1), (('ra', 'neutral'), 1), (('ah', 'german-dominant'), 1), (('hi', 'english-dominant'), 1), (('er', 'neutral'), 1), (('ru', 'german-dominant'), 1), (('od', 'neutral'), 1), (('de', 'german-dominant'), 1), (('es', 'neutral'), 1)]"
- Wanderbewequngen in Norden,- Wanderbewegungen im Norden,"[('replace', 12, 13, 12, 13), ('replace', 20, 21, 20, 21)]","[(('eg', 'neutral'), 1), (('gu', 'neutral'), 1), (('im', 'neutral'), 1)]"
Gestern habe ie einen Rleinen Tornado geraten .,Gestern habe ich einen kleinen Tornado gesehen.,"[('replace', 14, 15, 14, 16), ('replace', 22, 23, 23, 24), ('replace', 40, 43, 41, 44), ('delete', 45, 46, 46, 46)]","[(('ic', 'neutral'), 1), (('ch', 'german-dominant'), 1), (('ge', 'german-dominant'), 1), (('es', 'neutral'), 1), (('se', 'neutral'), 1), (('eh', 'neutral'), 1), (('en', 'german-dominant'), 1)]"
Pathen,Python,"[('replace', 1, 2, 1, 2), ('replace', 4, 5, 4, 5)]","[(('yt', 'english-dominant'), 1), (('ho', 'english-dominant'), 1), (('on', 'neutral'), 1)]"
"-sohauld dec Motor sich dreht , erzenght er als Gienerator aine Tndalktinspanning","- sobald der Motor sich dreht, erzeugt er als Generator eine Induktionsspannung","[('insert', 1, 1, 1, 2), ('replace', 3, 4, 4, 5), ('delete', 5, 6, 6, 6), ('replace', 11, 12, 11, 12), ('delete', 29, 30, 29, 29), ('replace', 36, 37, 35, 36), ('delete', 38, 39, 37, 37), ('delete', 49, 50, 47, 47), ('replace', 59, 60, 56, 57), ('replace', 64, 65, 61, 62), ('replace', 67, 69, 64, 65), ('insert', 72, 72, 68, 69), ('insert', 73, 73, 70, 71), ('replace', 78, 79, 76, 77)]","[(('so', 'neutral'), 1), (('ob', 'neutral'), 1), (('ba', 'neutral'), 1), (('al', 'neutral'), 1), (('er', 'neutral'), 2), (('ug', 'neutral'), 1), (('gt', 'neutral'), 1), (('ne', 'neutral'), 2), (('du', 'neutral'), 1), (('uk', 'german-dominant'), 1), (('ti', 'neutral'), 1), (('io', 'neutral'), 1), (('on', 'neutral'), 1), (('sp', 'neutral'), 1), (('pa', 'neutral'), 1), (('ng', 'neutral'), 1)]"
 Fateralionen ise urren athce nethefi Catshed,Interaktionen zwischen Akteuren mithilfe mathematisch-logischer,"[('replace', 0, 3, 0, 2), ('replace', 7, 8, 6, 8), ('insert', 14, 14, 14, 16), ('insert', 16, 16, 18, 20), ('insert', 17, 17, 21, 22), ('insert', 18, 18, 23, 27), ('delete', 19, 20, 28, 28), ('insert', 24, 24, 32, 42), ('insert', 27, 27, 45, 51), ('replace', 28, 33, 52, 60), ('replace', 35, 45, 62, 63)]","[(('nt', 'neutral'), 1), (('te', 'neutral'), 1), (('kt', 'german-dominant'), 1), (('ti', 'neutral'), 1), (('wi', 'neutral'), 1), (('is', 'neutral'), 1), (('sc', 'german-dominant'), 1), (('ch', 'german-dominant'), 1), (('he', 'neutral'), 2), (('eu', 'german-dominant'), 1), (('ur', 'neutral'), 1), (('re', 'neutral'), 1), (('en', 'german-dominant'), 1), (('mi', 'neutral'), 1), (('th', 'english-dominant'), 2), (('hi', 'english-dominant'), 1), (('il', 'neutral'), 1), (('lf', 'neutral'), 1), (('fe', 'neutral'), 1), (('ma', 'neutral'), 1), (('at', 'neutral'), 1)]"
Ih ollalyetlihhe TTTDTDeTTD,- Unterteilung erleichtert,"[('replace', 0, 1, 0, 21), ('replace', 2, 9, 22, 23), ('insert', 10, 10, 24, 25), ('delete', 11, 27, 26, 26)]","[(('nt', 'neutral'), 1), (('te', 'neutral'), 3), (('er', 'neutral'), 3), (('rt', 'neutral'), 2), (('ei', 'german-dominant'), 2), (('il', 'neutral'), 1), (('lu', 'neutral'), 1), (('un', 'german-dominant'), 1), (('ng', 'neutral'), 1), (('rl', 'neutral'), 1), (('le', 'neutral'), 1), (('ic', 'neutral'), 1), (('ch', 'german-dominant'), 1), (('ht', 'neutral'), 1)]"
- Sprache entstent durah . Interaktion 2wischen UMenschen,- Sprache entsteht durch Interaktion zwischen Menschen,"[('replace', 16, 17, 16, 17), ('replace', 22, 23, 22, 23), ('delete', 24, 26, 24, 24), ('replace', 39, 40, 37, 38), ('delete', 48, 49, 46, 46)]","[(('eh', 'neutral'), 1), (('ht', 'neutral'), 1), (('rc', 'neutral'), 1), (('ch', 'german-dominant'), 1), (('wi', 'neutral'), 1), (('is', 'neutral'), 1), (('en', 'german-dominant'), 1), (('ns', 'neutral'), 1)]"
1 in Potptitest.,1.) - in Rot ph-Wert,"[('insert', 1, 1, 1, 5), ('replace', 5, 6, 9, 10), ('insert', 8, 8, 12, 13), ('insert', 9, 9, 14, 19), ('delete', 10, 16, 20, 20)]","[(('ot', 'english-dominant'), 1), (('ph', 'neutral'), 1)]"
I Minsdellingand maploil t.,Raumdarstellung und Raummetaphorik,"[('replace', 0, 5, 0, 7), ('replace', 6, 7, 8, 9), ('replace', 10, 11, 12, 13), ('replace', 13, 14, 15, 17), ('insert', 17, 17, 20, 23), ('insert', 18, 18, 24, 27), ('replace', 20, 21, 29, 30), ('insert', 22, 22, 31, 32), ('replace', 23, 27, 33, 34)]","[(('au', 'german-dominant'), 2), (('um', 'neutral'), 2), (('md', 'german-dominant'), 1), (('da', 'neutral'), 1), (('ar', 'neutral'), 1), (('rs', 'neutral'), 1), (('el', 'neutral'), 1), (('ll', 'neutral'), 1), (('un', 'german-dominant'), 2), (('ng', 'neutral'), 1), (('nd', 'neutral'), 1), (('mm', 'neutral'), 1), (('me', 'neutral'), 1), (('et', 'neutral'), 1), (('ta', 'neutral'), 1)]"
Yider Begt Dukablbe t,aus der Barockzeit. Durch zahlreiche,"[('replace', 0, 2, 0, 4), ('insert', 7, 7, 9, 15), ('replace', 8, 9, 16, 17), ('insert', 10, 10, 18, 19), ('replace', 13, 14, 22, 27), ('replace', 15, 16, 28, 29), ('replace', 17, 18, 30, 31), ('replace', 19, 21, 32, 36)]","[(('au', 'german-dominant'), 1), (('us', 'neutral'), 1), (('ar', 'neutral'), 1), (('ck', 'neutral'), 1), (('kz', 'german-dominant'), 1), (('ze', 'german-dominant'), 1), (('ei', 'german-dominant'), 1), (('it', 'neutral'), 1)]"
Dtorsset,Prozesse.,"[('replace', 0, 2, 0, 2), ('replace', 3, 4, 3, 5), ('replace', 7, 8, 8, 9)]","[(('ro', 'neutral'), 1), (('oz', 'german-dominant'), 1), (('ze', 'german-dominant'), 1), (('se', 'neutral'), 1)]"
seizen Fallaged radkomnt   .,seinen Zahlungen nachkommt,"[('replace', 3, 4, 3, 4), ('replace', 7, 8, 7, 8), ('insert', 9, 9, 9, 10), ('replace', 10, 12, 11, 13), ('replace', 14, 15, 15, 16), ('replace', 16, 17, 17, 18), ('replace', 18, 19, 19, 21), ('replace', 22, 23, 24, 25), ('delete', 24, 28, 26, 26)]","[(('in', 'neutral'), 1), (('ne', 'neutral'), 1), (('ah', 'german-dominant'), 1), (('hl', 'german-dominant'), 1), (('lu', 'neutral'), 1), (('un', 'german-dominant'), 1), (('ge', 'german-dominant'), 1), (('en', 'german-dominant'), 1), (('na', 'neutral'), 1), (('ac', 'neutral'), 1), (('ko', 'german-dominant'), 1), (('om', 'neutral'), 1), (('mm', 'neutral'), 1), (('mt', 'neutral'), 1)]"
IhT eDheiaMsbslufet tethZETTTTZZZ,2. Medienwissenschaft:,"[('replace', 0, 1, 0, 17), ('delete', 2, 9, 18, 18), ('delete', 10, 16, 19, 19), ('delete', 17, 18, 20, 20), ('replace', 19, 33, 21, 22)]","[(('ed', 'neutral'), 1), (('di', 'neutral'), 1), (('ie', 'german-dominant'), 1), (('en', 'german-dominant'), 2), (('nw', 'neutral'), 1), (('wi', 'neutral'), 1), (('is', 'neutral'), 1), (('ss', 'neutral'), 1), (('se', 'neutral'), 1), (('ns', 'neutral'), 1), (('sc', 'german-dominant'), 1), (('ch', 'german-dominant'), 1), (('ha', 'neutral'), 1), (('af', 'neutral'), 1), (('ft', 'neutral'), 1)]"
Tplritier,Definition,"[('replace', 0, 4, 0, 5), ('replace', 7, 9, 8, 10)]","[(('ef', 'neutral'), 1), (('fi', 'neutral'), 1), (('in', 'neutral'), 1), (('ti', 'neutral'), 1), (('io', 'neutral'), 1), (('on', 'neutral'), 1)]"
beberaten cdanals .,Liberalen damals,"[('replace', 0, 2, 0, 2), ('replace', 6, 7, 6, 7), ('delete', 10, 11, 10, 10), ('replace', 13, 14, 12, 13), ('delete', 17, 19, 16, 16)]","[(('ib', 'neutral'), 1), (('al', 'neutral'), 2), (('le', 'neutral'), 1), (('da', 'neutral'), 1), (('ma', 'neutral'), 1)]"
hesungen bringen Antoren and Laser susammen .,Lesungen bringen Autoren und Leser zusammen.,"[('replace', 0, 1, 0, 1), ('replace', 18, 19, 18, 19), ('replace', 25, 26, 25, 26), ('replace', 30, 31, 30, 31), ('replace', 35, 36, 35, 36), ('delete', 43, 44, 43, 43)]","[(('ut', 'neutral'), 1), (('un', 'german-dominant'), 1), (('es', 'neutral'), 1), (('zu', 'german-dominant'), 1)]"
In Houe manenhjede Serakedbelt t,kann man auch jede Sprache der Welt,"[('replace', 0, 1, 0, 2), ('replace', 2, 7, 3, 4), ('replace', 11, 13, 8, 12), ('insert', 14, 14, 13, 14), ('insert', 20, 20, 20, 28), ('replace', 22, 27, 30, 32), ('delete', 30, 32, 35, 35)]","[(('ka', 'german-dominant'), 1), (('an', 'neutral'), 2), (('nn', 'german-dominant'), 1), (('ma', 'neutral'), 1), (('uc', 'neutral'), 1), (('ch', 'german-dominant'), 2), (('ra', 'neutral'), 1), (('ac', 'neutral'), 1), (('he', 'neutral'), 1)]"
ttt,Nr3.),"[('replace', 0, 3, 0, 5)]",[]
Nationalbeweging,Nationalbewegung,"[('replace', 13, 14, 13, 14)]","[(('gu', 'neutral'), 1), (('un', 'german-dominant'), 1)]"
- Kosenfunation Minimieren indem Minimum der Funlition sucen,- Kostenfunktion Minimieren indem Minimum der Funktion suchen,"[('insert', 5, 5, 5, 6), ('replace', 10, 11, 11, 12), ('replace', 48, 50, 49, 50), ('insert', 58, 58, 58, 59)]","[(('st', 'neutral'), 1), (('un', 'german-dominant'), 2), (('nk', 'german-dominant'), 2), (('kt', 'german-dominant'), 1), (('ch', 'german-dominant'), 1)]"
Bop : Einkommen in Dentsobland ist ungleisher geworder .,- Bsp.: Einkommen in Deutschland ist ungleicher geworden,"[('insert', 0, 0, 0, 2), ('replace', 1, 2, 3, 4), ('replace', 3, 4, 5, 6), ('replace', 21, 22, 23, 24), ('replace', 24, 26, 26, 28), ('replace', 41, 42, 43, 44), ('replace', 53, 56, 55, 56)]","[(('sp', 'neutral'), 1), (('ut', 'neutral'), 1), (('ts', 'neutral'), 1), (('sc', 'german-dominant'), 1), (('le', 'neutral'), 1), (('ei', 'german-dominant'), 1), (('rd', 'neutral'), 1), (('de', 'german-dominant'), 1), (('en', 'german-dominant'), 1)]"
geringeres Wirtschaftswachstum .,- geringeres Wirtschaftswachstum,"[('insert', 0, 0, 0, 2), ('delete', 30, 32, 32, 32)]","[(('tu', 'neutral'), 1), (('um', 'neutral'), 1)]"
gab as etren Wardel in golisten Penlan ?',gab es einen Wandel im politischen Denken?,"[('replace', 4, 5, 4, 5), ('replace', 8, 10, 8, 10), ('replace', 15, 16, 15, 16), ('replace', 21, 22, 21, 22), ('replace', 23, 24, 23, 24), ('insert', 27, 27, 27, 29), ('replace', 28, 29, 30, 32), ('replace', 32, 33, 35, 36), ('replace', 35, 37, 38, 40), ('delete', 38, 39, 41, 41), ('delete', 40, 41, 42, 42)]","[(('es', 'neutral'), 1), (('ei', 'german-dominant'), 1), (('in', 'neutral'), 1), (('ne', 'neutral'), 1), (('an', 'neutral'), 1), (('nd', 'neutral'), 1), (('im', 'neutral'), 1), (('po', 'neutral'), 1), (('it', 'neutral'), 1), (('ti', 'neutral'), 1), (('is', 'neutral'), 1), (('he', 'neutral'), 1), (('en', 'german-dominant'), 3), (('nk', 'german-dominant'), 1), (('ke', 'neutral'), 1)]"
Nit. Hille dreser Motelle harn man Feststllen welche Persomen cine Gap .,Mit Hilfe dieser Modelle kann man feststellen welche Personen eine Gruppe,"[('replace', 0, 1, 0, 1), ('delete', 3, 4, 3, 3), ('replace', 8, 9, 7, 8), ('replace', 12, 13, 11, 12), ('replace', 20, 21, 19, 20), ('replace', 26, 27, 25, 26), ('replace', 28, 29, 27, 28), ('replace', 35, 36, 34, 35), ('insert', 41, 41, 40, 41), ('replace', 58, 59, 58, 59), ('replace', 62, 63, 62, 63), ('replace', 68, 69, 68, 70), ('replace', 70, 72, 71, 73)]","[(('fe', 'neutral'), 2), (('ie', 'german-dominant'), 1), (('es', 'neutral'), 2), (('de', 'german-dominant'), 1), (('el', 'neutral'), 2), (('ka', 'german-dominant'), 1), (('an', 'neutral'), 1), (('nn', 'german-dominant'), 1), (('on', 'neutral'), 1), (('ne', 'neutral'), 1), (('ei', 'german-dominant'), 1), (('ru', 'german-dominant'), 1), (('up', 'neutral'), 1), (('pp', 'neutral'), 1), (('pe', 'neutral'), 1)]"
Digrtalonng schafes nome Bermbredder.,Digitalisierung schafft neue Berufsfelder.,"[('replace', 3, 4, 3, 4), ('replace', 7, 9, 7, 13), ('replace', 17, 19, 21, 23), ('replace', 21, 23, 25, 27), ('replace', 28, 31, 32, 36), ('replace', 32, 33, 37, 38)]","[(('gi', 'neutral'), 1), (('it', 'neutral'), 1), (('li', 'neutral'), 1), (('is', 'neutral'), 1), (('si', 'neutral'), 1), (('sc', 'german-dominant'), 1), (('ch', 'german-dominant'), 1), (('ha', 'neutral'), 1), (('ff', 'neutral'), 1), (('ft', 'neutral'), 1), (('er', 'neutral'), 1), (('ru', 'german-dominant'), 1), (('uf', 'german-dominant'), 1)]"
" festelect weiden ... . "" """,festgelegt werden,"[('delete', 0, 1, 0, 0), ('insert', 5, 5, 4, 5), ('replace', 8, 9, 8, 9), ('replace', 13, 14, 13, 14), ('delete', 17, 27, 17, 17)]","[(('fe', 'neutral'), 1), (('ge', 'german-dominant'), 1), (('eg', 'neutral'), 1), (('gt', 'neutral'), 1), (('er', 'neutral'), 1), (('rd', 'neutral'), 1)]"
 t tdenisie exphore Mhoiclpnabilf,so etwas wie eine angeborene Universalgrammatik,"[('insert', 0, 0, 0, 2), ('insert', 1, 1, 3, 4), ('insert', 2, 2, 5, 8), ('replace', 3, 9, 9, 10), ('replace', 13, 16, 14, 23), ('insert', 19, 19, 26, 28), ('replace', 20, 23, 29, 31), ('replace', 24, 25, 32, 37), ('replace', 26, 28, 38, 40), ('replace', 29, 30, 41, 45), ('replace', 31, 33, 46, 47)]","[(('so', 'neutral'), 1), (('et', 'neutral'), 1), (('tw', 'neutral'), 1), (('wa', 'neutral'), 1), (('as', 'neutral'), 1), (('ei', 'german-dominant'), 1), (('in', 'neutral'), 1), (('ne', 'neutral'), 2), (('an', 'neutral'), 1), (('ng', 'neutral'), 1), (('ge', 'german-dominant'), 1), (('eb', 'neutral'), 1), (('bo', 'english-dominant'), 1), (('or', 'neutral'), 1), (('re', 'neutral'), 1), (('en', 'german-dominant'), 1), (('ni', 'neutral'), 1), (('iv', 'neutral'), 1), (('ve', 'neutral'), 1)]"
"Der Ruchchittoriederithleg "" Tist bei sad hn . Das "" iagtain teiat das "" """,Der Durchschnittsniederschlag liegt bei 599mm. Das Diagramm zeigt das,"[('replace', 4, 5, 4, 5), ('insert', 6, 6, 6, 7), ('insert', 8, 8, 9, 10), ('insert', 10, 10, 12, 13), ('replace', 13, 15, 16, 18), ('replace', 20, 22, 23, 25), ('insert', 24, 24, 27, 32), ('delete', 26, 32, 34, 34), ('replace', 38, 45, 40, 45), ('replace', 51, 53, 51, 52), ('replace', 56, 57, 55, 56), ('replace', 58, 60, 57, 59), ('replace', 61, 62, 60, 61), ('replace', 64, 65, 63, 64), ('delete', 70, 74, 69, 69)]","[(('ur', 'neutral'), 1), (('ch', 'german-dominant'), 1), (('sc', 'german-dominant'), 2), (('ni', 'neutral'), 1), (('it', 'neutral'), 1), (('tt', 'neutral'), 1), (('ed', 'neutral'), 1), (('de', 'german-dominant'), 1), (('er', 'neutral'), 1), (('hl', 'german-dominant'), 1), (('la', 'neutral'), 1), (('ag', 'neutral'), 1), (('li', 'neutral'), 1), (('ie', 'german-dominant'), 1), (('ei', 'german-dominant'), 2), (('mm', 'neutral'), 2), (('ia', 'neutral'), 1), (('ra', 'neutral'), 1), (('am', 'neutral'), 1), (('ze', 'german-dominant'), 1), (('gt', 'neutral'), 1)]"
ileit bae ,"""I like it"" - Songtext","[('insert', 0, 0, 0, 4), ('replace', 1, 2, 5, 6), ('insert', 3, 3, 7, 8), ('insert', 5, 5, 10, 11), ('replace', 6, 8, 12, 19), ('replace', 9, 10, 20, 22)]","[(('ik', 'neutral'), 1), (('ke', 'neutral'), 1), (('it', 'neutral'), 1)]"
Der Zustand eines Objehtes ... .... .,Der Zustand eines Objektes...,"[('replace', 22, 23, 22, 23), ('delete', 26, 27, 26, 26), ('delete', 30, 37, 29, 29)]","[(('ek', 'german-dominant'), 1), (('kt', 'german-dominant'), 1)]"
 MDetnition : Mange von Elementon in wehselsitiger f,Definition : Menge von Elementen in wechselseitiger,"[('delete', 0, 2, 0, 0), ('replace', 4, 5, 2, 4), ('replace', 15, 16, 14, 15), ('replace', 31, 32, 30, 31), ('insert', 39, 39, 38, 39), ('insert', 44, 44, 44, 45), ('delete', 50, 52, 51, 51)]","[(('ef', 'neutral'), 1), (('in', 'neutral'), 1), (('ni', 'neutral'), 1), (('en', 'german-dominant'), 2), (('ng', 'neutral'), 1), (('ch', 'german-dominant'), 1), (('se', 'neutral'), 1), (('er', 'neutral'), 1)]"
"wenten abjewotten , un Kenie Eergie rod ""nperchaandn ""","werden abgeworfen, um keine Energie zu ""verschwenden""","[('replace', 2, 4, 2, 4), ('replace', 9, 10, 9, 10), ('replace', 13, 15, 13, 15), ('delete', 17, 18, 17, 17), ('insert', 21, 21, 20, 25), ('delete', 22, 27, 26, 26), ('insert', 30, 30, 29, 30), ('replace', 36, 39, 36, 38), ('replace', 41, 43, 40, 41), ('insert', 45, 45, 43, 44), ('replace', 47, 49, 46, 48), ('insert', 51, 51, 50, 51), ('delete', 52, 53, 52, 52)]","[(('er', 'neutral'), 2), (('rd', 'neutral'), 1), (('de', 'german-dominant'), 1), (('bg', 'german-dominant'), 1), (('ge', 'german-dominant'), 1), (('or', 'neutral'), 1), (('rf', 'neutral'), 1), (('fe', 'neutral'), 1), (('ke', 'neutral'), 1), (('ei', 'german-dominant'), 1), (('in', 'neutral'), 1), (('ne', 'neutral'), 2), (('zu', 'german-dominant'), 1), (('ve', 'neutral'), 1), (('rs', 'neutral'), 1), (('ch', 'german-dominant'), 1), (('we', 'neutral'), 1), (('en', 'german-dominant'), 2), (('nd', 'neutral'), 1)]"
TTT T FEtes Ayspofieren ton lasint metenf al Fragegentenstuttion T,- Erstes Ausprobieren von Messinstrumenten (z.B Fragebogenkonstruktion),"[('replace', 0, 3, 0, 1), ('delete', 4, 7, 2, 2), ('insert', 8, 8, 3, 5), ('replace', 13, 14, 10, 11), ('insert', 16, 16, 13, 14), ('replace', 17, 18, 15, 16), ('replace', 24, 25, 22, 23), ('replace', 28, 30, 26, 29), ('insert', 33, 33, 32, 33), ('replace', 34, 35, 34, 36), ('insert', 37, 37, 38, 39), ('delete', 40, 41, 42, 42), ('replace', 42, 44, 43, 47), ('insert', 50, 50, 53, 55), ('replace', 53, 55, 58, 60), ('insert', 58, 58, 63, 64), ('replace', 59, 60, 65, 66), ('replace', 64, 66, 70, 71)]","[(('rs', 'neutral'), 1), (('st', 'neutral'), 2), (('te', 'neutral'), 2), (('es', 'neutral'), 2), (('pr', 'neutral'), 1), (('ro', 'neutral'), 1), (('bi', 'neutral'), 1), (('ie', 'german-dominant'), 1), (('er', 'neutral'), 1), (('on', 'neutral'), 2), (('ss', 'neutral'), 1), (('si', 'neutral'), 1), (('tr', 'neutral'), 1), (('ru', 'german-dominant'), 2), (('me', 'neutral'), 1), (('en', 'german-dominant'), 1), (('ra', 'neutral'), 1), (('eb', 'neutral'), 1), (('bo', 'english-dominant'), 1), (('og', 'neutral'), 1), (('nk', 'german-dominant'), 1), (('ko', 'german-dominant'), 1), (('uk', 'german-dominant'), 1), (('kt', 'german-dominant'), 1)]"
- thie Mutter rultaaizubeubifnd t,Die Mutter versucht sie zu beruhigen und,"[('replace', 0, 4, 0, 1), ('insert', 14, 14, 11, 29), ('replace', 16, 20, 31, 32), ('replace', 21, 22, 33, 37), ('delete', 23, 29, 38, 38), ('delete', 31, 33, 40, 40)]","[(('ie', 'german-dominant'), 2), (('rs', 'neutral'), 1), (('uc', 'neutral'), 1), (('ch', 'german-dominant'), 1), (('ht', 'neutral'), 1), (('si', 'neutral'), 1), (('zu', 'german-dominant'), 1), (('be', 'neutral'), 1), (('er', 'neutral'), 1), (('uh', 'german-dominant'), 1), (('hi', 'english-dominant'), 1), (('ig', 'neutral'), 1)]"
