prediction,ground_truth,diff_ops,error_ngrams
HotLHD Fneligde Testatiedng Hef todes TATTDTTI,Zunehmende Abstrahierung der Codes,"[('replace', 0, 8, 0, 2), ('replace', 10, 13, 4, 8), ('replace', 16, 18, 11, 13), ('insert', 20, 20, 15, 16), ('replace', 21, 22, 17, 18), ('replace', 24, 25, 20, 22), ('replace', 28, 29, 25, 26), ('replace', 30, 31, 27, 28), ('replace', 32, 33, 29, 30), ('delete', 37, 46, 34, 34)]","[(('une', 'neutral'), 1), (('neh', 'german-dominant'), 1), (('ehm', 'german-dominant'), 1), (('hme', 'german-dominant'), 1), (('men', 'neutral'), 1), (('end', 'german-dominant'), 1), (('nde', 'german-dominant'), 1), (('bst', 'german-dominant'), 1), (('tra', 'neutral'), 1), (('rah', 'german-dominant'), 1), (('ahi', 'neutral'), 1), (('hie', 'german-dominant'), 1), (('ier', 'german-dominant'), 1), (('eru', 'german-dominant'), 2), (('run', 'german-dominant'), 1), (('ung', 'german-dominant'), 1), (('ode', 'neutral'), 2), (('des', 'neutral'), 1)]"
- Wanderbewequngen in Norden,- Wanderbewegungen im Norden,"[('replace', 12, 13, 12, 13), ('replace', 20, 21, 20, 21)]","[(('weg', 'german-dominant'), 1), (('egu', 'neutral'), 1), (('gun', 'german-dominant'), 1)]"
Gestern habe ie einen Rleinen Tornado geraten .,Gestern habe ich einen kleinen Tornado gesehen.,"[('replace', 14, 15, 14, 16), ('replace', 22, 23, 23, 24), ('replace', 40, 43, 41, 44), ('delete', 45, 46, 46, 46)]","[(('ich', 'german-dominant'), 1), (('ges', 'german-dominant'), 1), (('ese', 'neutral'), 1), (('seh', 'neutral'), 1), (('ehe', 'neutral'), 1), (('hen', 'neutral'), 1)]"
Pathen,Python,"[('replace', 1, 2, 1, 2), ('replace', 4, 5, 4, 5)]","[(('yth', 'english-dominant'), 1), (('tho', 'english-dominant'), 1), (('hon', 'neutral'), 1)]"
"-sohauld dec Motor sich dreht , erzenght er als Gienerator aine Tndalktinspanning","- sobald der Motor sich dreht, erzeugt er als Generator eine Induktionsspannung","[('insert', 1, 1, 1, 2), ('replace', 3, 4, 4, 5), ('delete', 5, 6, 6, 6), ('replace', 11, 12, 11, 12), ('delete', 29, 30, 29, 29), ('replace', 36, 37, 35, 36), ('delete', 38, 39, 37, 37), ('delete', 49, 50, 47, 47), ('replace', 59, 60, 56, 57), ('replace', 64, 65, 61, 62), ('replace', 67, 69, 64, 65), ('insert', 72, 72, 68, 69), ('insert', 73, 73, 70, 71), ('replace', 78, 79, 76, 77)]","[(('sob', 'neutral'), 1), (('oba', 'neutral'), 2), (('bal', 'neutral'), 1), (('ald', 'neutral'), 1), (('der', 'german-dominant'), 1), (('eug', 'german-dominant'), 1), (('ugt', 'german-dominant'), 1), (('ene', 'neutral'), 1), (('ner', 'german-dominant'), 1), (('era', 'neutral'), 1), (('ine', 'german-dominant'), 1), (('ndu', 'neutral'), 1), (('duk', 'german-dominant'), 1), (('ukt', 'german-dominant'), 1), (('kti', 'german-dominant'), 1), (('tio', 'neutral'), 1), (('ion', 'neutral'), 1), (('ons', 'neutral'), 1), (('ssp', 'neutral'), 1), (('spa', 'neutral'), 2), (('pan', 'neutral'), 1), (('ung', 'german-dominant'), 1)]"
 Fateralionen ise urren athce nethefi Catshed,Interaktionen zwischen Akteuren mithilfe mathematisch-logischer,"[('replace', 0, 3, 0, 2), ('replace', 7, 8, 6, 8), ('insert', 14, 14, 14, 16), ('insert', 16, 16, 18, 20), ('insert', 17, 17, 21, 22), ('insert', 18, 18, 23, 27), ('delete', 19, 20, 28, 28), ('insert', 24, 24, 32, 42), ('insert', 27, 27, 45, 51), ('replace', 28, 33, 52, 60), ('replace', 35, 45, 62, 63)]","[(('nte', 'german-dominant'), 1), (('ter', 'neutral'), 1), (('akt', 'german-dominant'), 1), (('kti', 'german-dominant'), 1), (('tio', 'neutral'), 1), (('zwi', 'german-dominant'), 1), (('wis', 'german-dominant'), 2), (('isc', 'german-dominant'), 2), (('sch', 'german-dominant'), 2), (('che', 'german-dominant'), 1), (('hen', 'neutral'), 1), (('teu', 'german-dominant'), 1), (('eur', 'neutral'), 2), (('ure', 'neutral'), 1), (('ren', 'german-dominant'), 1), (('mit', 'german-dominant'), 1), (('ith', 'english-dominant'), 1), (('thi', 'english-dominant'), 1), (('hil', 'english-dominant'), 1), (('ilf', 'german-dominant'), 1), (('lfe', 'neutral'), 1), (('mat', 'neutral'), 1), (('ath', 'english-dominant'), 1), (('the', 'english-dominant'), 1), (('hem', 'english-dominant'), 1)]"
Ih ollalyetlihhe TTTDTDeTTD,- Unterteilung erleichtert,"[('replace', 0, 1, 0, 21), ('replace', 2, 9, 22, 23), ('insert', 10, 10, 24, 25), ('delete', 11, 27, 26, 26)]","[(('nte', 'german-dominant'), 1), (('ter', 'neutral'), 2), (('ert', 'neutral'), 2), (('rte', 'german-dominant'), 1), (('tei', 'german-dominant'), 1), (('eil', 'german-dominant'), 2), (('ilu', 'german-dominant'), 2), (('lun', 'german-dominant'), 1), (('ung', 'german-dominant'), 1), (('erl', 'german-dominant'), 1), (('rle', 'neutral'), 1), (('lei', 'german-dominant'), 1), (('eic', 'german-dominant'), 1), (('ich', 'german-dominant'), 1), (('cht', 'german-dominant'), 1), (('hte', 'german-dominant'), 1)]"
- Sprache entstent durah . Interaktion 2wischen UMenschen,- Sprache entsteht durch Interaktion zwischen Menschen,"[('replace', 16, 17, 16, 17), ('replace', 22, 23, 22, 23), ('delete', 24, 26, 24, 24), ('replace', 39, 40, 37, 38), ('delete', 48, 49, 46, 46)]","[(('teh', 'german-dominant'), 1), (('eht', 'german-dominant'), 1), (('urc', 'german-dominant'), 1), (('rch', 'german-dominant'), 1), (('zwi', 'german-dominant'), 1), (('wis', 'german-dominant'), 1), (('isc', 'german-dominant'), 1), (('ens', 'german-dominant'), 1), (('nsc', 'german-dominant'), 1)]"
1 in Potptitest.,1.) - in Rot ph-Wert,"[('insert', 1, 1, 1, 5), ('replace', 5, 6, 9, 10), ('insert', 8, 8, 12, 13), ('insert', 9, 9, 14, 19), ('delete', 10, 16, 20, 20)]",[]
I Minsdellingand maploil t.,Raumdarstellung und Raummetaphorik,"[('replace', 0, 5, 0, 7), ('replace', 6, 7, 8, 9), ('replace', 10, 11, 12, 13), ('replace', 13, 14, 15, 17), ('insert', 17, 17, 20, 23), ('insert', 18, 18, 24, 27), ('replace', 20, 21, 29, 30), ('insert', 22, 22, 31, 32), ('replace', 23, 27, 33, 34)]","[(('aum', 'german-dominant'), 3), (('umd', 'german-dominant'), 1), (('mda', 'german-dominant'), 1), (('dar', 'neutral'), 2), (('ars', 'english-dominant'), 1), (('rst', 'neutral'), 1), (('tel', 'neutral'), 1), (('ell', 'neutral'), 1), (('llu', 'german-dominant'), 1), (('lun', 'german-dominant'), 1), (('ung', 'german-dominant'), 1), (('und', 'german-dominant'), 2), (('umm', 'neutral'), 1), (('mme', 'german-dominant'), 1), (('met', 'neutral'), 1), (('eta', 'neutral'), 1), (('tap', 'neutral'), 1)]"
Yider Begt Dukablbe t,aus der Barockzeit. Durch zahlreiche,"[('replace', 0, 2, 0, 4), ('insert', 7, 7, 9, 15), ('replace', 8, 9, 16, 17), ('insert', 10, 10, 18, 19), ('replace', 13, 14, 22, 27), ('replace', 15, 16, 28, 29), ('replace', 17, 18, 30, 31), ('replace', 19, 21, 32, 36)]","[(('aus', 'german-dominant'), 1), (('aro', 'english-dominant'), 1), (('ock', 'neutral'), 1), (('ckz', 'german-dominant'), 1), (('kze', 'german-dominant'), 2), (('zei', 'german-dominant'), 1), (('eit', 'german-dominant'), 2)]"
Dtorsset,Prozesse.,"[('replace', 0, 2, 0, 2), ('replace', 3, 4, 3, 5), ('replace', 7, 8, 8, 9)]","[(('roz', 'german-dominant'), 2), (('oze', 'german-dominant'), 1), (('zes', 'german-dominant'), 1), (('sse', 'german-dominant'), 1)]"
seizen Fallaged radkomnt   .,seinen Zahlungen nachkommt,"[('replace', 3, 4, 3, 4), ('replace', 7, 8, 7, 8), ('insert', 9, 9, 9, 10), ('replace', 10, 12, 11, 13), ('replace', 14, 15, 15, 16), ('replace', 16, 17, 17, 18), ('replace', 18, 19, 19, 21), ('replace', 22, 23, 24, 25), ('delete', 24, 28, 26, 26)]","[(('ein', 'german-dominant'), 1), (('ine', 'german-dominant'), 1), (('nen', 'german-dominant'), 1), (('ahl', 'german-dominant'), 2), (('hlu', 'german-dominant'), 1), (('lun', 'german-dominant'), 1), (('ung', 'german-dominant'), 1), (('nge', 'german-dominant'), 1), (('gen', 'german-dominant'), 1), (('nac', 'german-dominant'), 1), (('ach', 'german-dominant'), 1), (('hko', 'german-dominant'), 1), (('kom', 'german-dominant'), 1), (('omm', 'neutral'), 2), (('mmt', 'german-dominant'), 1)]"
IhT eDheiaMsbslufet tethZETTTTZZZ,2. Medienwissenschaft:,"[('replace', 0, 1, 0, 17), ('delete', 2, 9, 18, 18), ('delete', 10, 16, 19, 19), ('delete', 17, 18, 20, 20), ('replace', 19, 33, 21, 22)]","[(('edi', 'neutral'), 1), (('die', 'german-dominant'), 1), (('ien', 'neutral'), 1), (('enw', 'german-dominant'), 1), (('nwi', 'neutral'), 2), (('wis', 'german-dominant'), 1), (('iss', 'neutral'), 1), (('sse', 'german-dominant'), 1), (('sen', 'german-dominant'), 1), (('ens', 'german-dominant'), 1), (('nsc', 'german-dominant'), 1), (('sch', 'german-dominant'), 2), (('cha', 'neutral'), 1), (('haf', 'german-dominant'), 2), (('aft', 'german-dominant'), 1)]"
Tplritier,Definition,"[('replace', 0, 4, 0, 5), ('replace', 7, 9, 8, 10)]","[(('efi', 'neutral'), 1), (('fin', 'neutral'), 1), (('ini', 'neutral'), 1), (('iti', 'neutral'), 1), (('tio', 'neutral'), 1), (('ion', 'neutral'), 1)]"
beberaten cdanals .,Liberalen damals,"[('replace', 0, 2, 0, 2), ('replace', 6, 7, 6, 7), ('delete', 10, 11, 10, 10), ('replace', 13, 14, 12, 13), ('delete', 17, 19, 16, 16)]","[(('ibe', 'neutral'), 1), (('ral', 'neutral'), 1), (('ale', 'neutral'), 1), (('len', 'german-dominant'), 1), (('dam', 'neutral'), 1), (('ama', 'neutral'), 1), (('mal', 'neutral'), 1), (('als', 'neutral'), 1)]"
hesungen bringen Antoren and Laser susammen .,Lesungen bringen Autoren und Leser zusammen.,"[('replace', 0, 1, 0, 1), ('replace', 18, 19, 18, 19), ('replace', 25, 26, 25, 26), ('replace', 30, 31, 30, 31), ('replace', 35, 36, 35, 36), ('delete', 43, 44, 43, 43)]","[(('uto', 'neutral'), 1), (('und', 'german-dominant'), 1), (('ese', 'neutral'), 1), (('zus', 'german-dominant'), 1)]"
In Houe manenhjede Serakedbelt t,kann man auch jede Sprache der Welt,"[('replace', 0, 1, 0, 2), ('replace', 2, 7, 3, 4), ('replace', 11, 13, 8, 12), ('insert', 14, 14, 13, 14), ('insert', 20, 20, 20, 28), ('replace', 22, 27, 30, 32), ('delete', 30, 32, 35, 35)]","[(('kan', 'german-dominant'), 2), (('ann', 'neutral'), 1), (('man', 'neutral'), 1), (('auc', 'german-dominant'), 1), (('uch', 'neutral'), 1), (('pra', 'german-dominant'), 1), (('rac', 'neutral'), 1), (('ach', 'german-dominant'), 1), (('che', 'german-dominant'), 1)]"
ttt,Nr3.),"[('replace', 0, 3, 0, 5)]",[]
Nationalbeweging,Nationalbewegung,"[('replace', 13, 14, 13, 14)]","[(('egu', 'neutral'), 1), (('gun', 'german-dominant'), 1), (('ung', 'german-dominant'), 1)]"
- Kosenfunation Minimieren indem Minimum der Funlition sucen,- Kostenfunktion Minimieren indem Minimum der Funktion suchen,"[('insert', 5, 5, 5, 6), ('replace', 10, 11, 11, 12), ('replace', 48, 50, 49, 50), ('insert', 58, 58, 58, 59)]","[(('ost', 'neutral'), 1), (('ste', 'neutral'), 1), (('fun', 'german-dominant'), 1), (('unk', 'german-dominant'), 2), (('nkt', 'german-dominant'), 2), (('kti', 'german-dominant'), 1), (('uch', 'neutral'), 1), (('che', 'german-dominant'), 1)]"
Bop : Einkommen in Dentsobland ist ungleisher geworder .,- Bsp.: Einkommen in Deutschland ist ungleicher geworden,"[('insert', 0, 0, 0, 2), ('replace', 1, 2, 3, 4), ('replace', 3, 4, 5, 6), ('replace', 21, 22, 23, 24), ('replace', 24, 26, 26, 28), ('replace', 41, 42, 43, 44), ('replace', 53, 56, 55, 56)]","[(('eut', 'german-dominant'), 1), (('uts', 'neutral'), 1), (('tsc', 'german-dominant'), 1), (('sch', 'german-dominant'), 1), (('gle', 'neutral'), 1), (('lei', 'german-dominant'), 1), (('eic', 'german-dominant'), 1), (('ord', 'neutral'), 1), (('rde', 'german-dominant'), 1), (('den', 'german-dominant'), 1)]"
geringeres Wirtschaftswachstum .,- geringeres Wirtschaftswachstum,"[('insert', 0, 0, 0, 2), ('delete', 30, 32, 32, 32)]","[(('stu', 'german-dominant'), 1), (('tum', 'german-dominant'), 1)]"
gab as etren Wardel in golisten Penlan ?',gab es einen Wandel im politischen Denken?,"[('replace', 4, 5, 4, 5), ('replace', 8, 10, 8, 10), ('replace', 15, 16, 15, 16), ('replace', 21, 22, 21, 22), ('replace', 23, 24, 23, 24), ('insert', 27, 27, 27, 29), ('replace', 28, 29, 30, 32), ('replace', 32, 33, 35, 36), ('replace', 35, 37, 38, 40), ('delete', 38, 39, 41, 41), ('delete', 40, 41, 42, 42)]","[(('ein', 'german-dominant'), 1), (('ine', 'german-dominant'), 1), (('nen', 'german-dominant'), 1), (('and', 'neutral'), 1), (('nde', 'german-dominant'), 1), (('pol', 'neutral'), 1), (('lit', 'neutral'), 1), (('iti', 'neutral'), 2), (('tis', 'neutral'), 1), (('isc', 'german-dominant'), 1), (('che', 'german-dominant'), 1), (('hen', 'neutral'), 1), (('enk', 'german-dominant'), 2), (('nke', 'german-dominant'), 1), (('ken', 'neutral'), 2)]"
Nit. Hille dreser Motelle harn man Feststllen welche Persomen cine Gap .,Mit Hilfe dieser Modelle kann man feststellen welche Personen eine Gruppe,"[('replace', 0, 1, 0, 1), ('delete', 3, 4, 3, 3), ('replace', 8, 9, 7, 8), ('replace', 12, 13, 11, 12), ('replace', 20, 21, 19, 20), ('replace', 26, 27, 25, 26), ('replace', 28, 29, 27, 28), ('replace', 35, 36, 34, 35), ('insert', 41, 41, 40, 41), ('replace', 58, 59, 58, 59), ('replace', 62, 63, 62, 63), ('replace', 68, 69, 68, 70), ('replace', 70, 72, 71, 73)]","[(('lfe', 'neutral'), 1), (('die', 'german-dominant'), 1), (('ies', 'neutral'), 1), (('ese', 'neutral'), 1), (('ode', 'neutral'), 1), (('del', 'neutral'), 1), (('ell', 'neutral'), 2), (('kan', 'german-dominant'), 1), (('ann', 'neutral'), 2), (('fes', 'neutral'), 1), (('est', 'neutral'), 1), (('tel', 'neutral'), 1), (('son', 'neutral'), 1), (('one', 'neutral'), 1), (('nen', 'german-dominant'), 1), (('ein', 'german-dominant'), 1), (('rup', 'german-dominant'), 2), (('upp', 'neutral'), 1), (('ppe', 'neutral'), 1)]"
Digrtalonng schafes nome Bermbredder.,Digitalisierung schafft neue Berufsfelder.,"[('replace', 3, 4, 3, 4), ('replace', 7, 9, 7, 13), ('replace', 17, 19, 21, 23), ('replace', 21, 23, 25, 27), ('replace', 28, 31, 32, 36), ('replace', 32, 33, 37, 38)]","[(('igi', 'neutral'), 1), (('git', 'neutral'), 1), (('ita', 'neutral'), 1), (('ali', 'neutral'), 1), (('lis', 'neutral'), 1), (('isi', 'neutral'), 1), (('sie', 'german-dominant'), 1), (('sch', 'german-dominant'), 1), (('cha', 'neutral'), 1), (('haf', 'german-dominant'), 1), (('aff', 'neutral'), 1), (('fft', 'neutral'), 1), (('eru', 'german-dominant'), 2), (('ruf', 'german-dominant'), 1), (('ufs', 'german-dominant'), 1)]"
" festelect weiden ... . "" """,festgelegt werden,"[('delete', 0, 1, 0, 0), ('insert', 5, 5, 4, 5), ('replace', 8, 9, 8, 9), ('replace', 13, 14, 13, 14), ('delete', 17, 27, 17, 17)]","[(('fes', 'neutral'), 1), (('tge', 'german-dominant'), 1), (('gel', 'german-dominant'), 1), (('leg', 'neutral'), 1), (('egt', 'german-dominant'), 1), (('wer', 'neutral'), 1), (('erd', 'german-dominant'), 1), (('rde', 'german-dominant'), 1)]"
 t tdenisie exphore Mhoiclpnabilf,so etwas wie eine angeborene Universalgrammatik,"[('insert', 0, 0, 0, 2), ('insert', 1, 1, 3, 4), ('insert', 2, 2, 5, 8), ('replace', 3, 9, 9, 10), ('replace', 13, 16, 14, 23), ('insert', 19, 19, 26, 28), ('replace', 20, 23, 29, 31), ('replace', 24, 25, 32, 37), ('replace', 26, 28, 38, 40), ('replace', 29, 30, 41, 45), ('replace', 31, 33, 46, 47)]","[(('etw', 'neutral'), 1), (('twa', 'neutral'), 1), (('was', 'english-dominant'), 1), (('ein', 'german-dominant'), 1), (('ine', 'german-dominant'), 1), (('ang', 'neutral'), 2), (('nge', 'german-dominant'), 1), (('geb', 'german-dominant'), 1), (('ebo', 'neutral'), 1), (('bor', 'neutral'), 2), (('ore', 'english-dominant'), 1), (('ren', 'german-dominant'), 2), (('ene', 'neutral'), 1), (('niv', 'neutral'), 1), (('ive', 'neutral'), 1), (('ver', 'neutral'), 1)]"
"Der Ruchchittoriederithleg "" Tist bei sad hn . Das "" iagtain teiat das "" """,Der Durchschnittsniederschlag liegt bei 599mm. Das Diagramm zeigt das,"[('replace', 4, 5, 4, 5), ('insert', 6, 6, 6, 7), ('insert', 8, 8, 9, 10), ('insert', 10, 10, 12, 13), ('replace', 13, 15, 16, 18), ('replace', 20, 22, 23, 25), ('insert', 24, 24, 27, 32), ('delete', 26, 32, 34, 34), ('replace', 38, 45, 40, 45), ('replace', 51, 53, 51, 52), ('replace', 56, 57, 55, 56), ('replace', 58, 60, 57, 59), ('replace', 61, 62, 60, 61), ('replace', 64, 65, 63, 64), ('delete', 70, 74, 69, 69)]","[(('urc', 'german-dominant'), 1), (('rch', 'german-dominant'), 1), (('chs', 'german-dominant'), 1), (('hsc', 'german-dominant'), 1), (('sch', 'german-dominant'), 2), (('hni', 'german-dominant'), 1), (('nit', 'neutral'), 1), (('itt', 'neutral'), 1), (('tts', 'german-dominant'), 1), (('ied', 'neutral'), 1), (('ede', 'neutral'), 1), (('der', 'german-dominant'), 1), (('ers', 'neutral'), 1), (('rsc', 'german-dominant'), 1), (('chl', 'german-dominant'), 1), (('hla', 'german-dominant'), 1), (('lag', 'neutral'), 1), (('lie', 'neutral'), 1), (('ieg', 'german-dominant'), 1), (('bei', 'german-dominant'), 1), (('iag', 'neutral'), 1), (('gra', 'neutral'), 1), (('ram', 'neutral'), 1), (('amm', 'german-dominant'), 2), (('zei', 'german-dominant'), 1), (('eig', 'german-dominant'), 1), (('igt', 'german-dominant'), 1)]"
ileit bae ,"""I like it"" - Songtext","[('insert', 0, 0, 0, 4), ('replace', 1, 2, 5, 6), ('insert', 3, 3, 7, 8), ('insert', 5, 5, 10, 11), ('replace', 6, 8, 12, 19), ('replace', 9, 10, 20, 22)]","[(('lik', 'neutral'), 1), (('ike', 'neutral'), 2)]"
Der Zustand eines Objehtes ... .... .,Der Zustand eines Objektes...,"[('replace', 22, 23, 22, 23), ('delete', 26, 27, 26, 26), ('delete', 30, 37, 29, 29)]","[(('jek', 'german-dominant'), 1), (('ekt', 'german-dominant'), 1), (('kte', 'german-dominant'), 1)]"
 MDetnition : Mange von Elementon in wehselsitiger f,Definition : Menge von Elementen in wechselseitiger,"[('delete', 0, 2, 0, 0), ('replace', 4, 5, 2, 4), ('replace', 15, 16, 14, 15), ('replace', 31, 32, 30, 31), ('insert', 39, 39, 38, 39), ('insert', 44, 44, 44, 45), ('delete', 50, 52, 51, 51)]","[(('efi', 'neutral'), 1), (('fin', 'neutral'), 1), (('ini', 'neutral'), 1), (('nit', 'neutral'), 1), (('eng', 'german-dominant'), 1), (('nge', 'german-dominant'), 1), (('ten', 'german-dominant'), 1), (('ech', 'neutral'), 1), (('chs', 'german-dominant'), 1), (('lse', 'neutral'), 1), (('sei', 'german-dominant'), 1), (('ger', 'neutral'), 1)]"
"wenten abjewotten , un Kenie Eergie rod ""nperchaandn ""","werden abgeworfen, um keine Energie zu ""verschwenden""","[('replace', 2, 4, 2, 4), ('replace', 9, 10, 9, 10), ('replace', 13, 15, 13, 15), ('delete', 17, 18, 17, 17), ('insert', 21, 21, 20, 25), ('delete', 22, 27, 26, 26), ('insert', 30, 30, 29, 30), ('replace', 36, 39, 36, 38), ('replace', 41, 43, 40, 41), ('insert', 45, 45, 43, 44), ('replace', 47, 49, 46, 48), ('insert', 51, 51, 50, 51), ('delete', 52, 53, 52, 52)]","[(('wer', 'neutral'), 1), (('erd', 'german-dominant'), 1), (('rde', 'german-dominant'), 1), (('den', 'german-dominant'), 2), (('abg', 'german-dominant'), 1), (('bge', 'german-dominant'), 1), (('gew', 'german-dominant'), 1), (('wor', 'neutral'), 1), (('orf', 'neutral'), 1), (('rfe', 'neutral'), 1), (('fen', 'german-dominant'), 1), (('kei', 'german-dominant'), 1), (('ein', 'german-dominant'), 1), (('ine', 'german-dominant'), 1), (('ner', 'german-dominant'), 1), (('ver', 'neutral'), 1), (('ers', 'neutral'), 1), (('rsc', 'german-dominant'), 1), (('sch', 'german-dominant'), 1), (('chw', 'german-dominant'), 1), (('hwe', 'german-dominant'), 1), (('wen', 'german-dominant'), 1), (('end', 'german-dominant'), 1), (('nde', 'german-dominant'), 1)]"
