path,text
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003u\a01-003u-00.png,Though they may gather some Left-wing
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003u\a01-003u-01.png,"support , a large majority of Labour"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003u\a01-003u-02.png,M Ps are likely to turn down the Foot-
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003u\a01-003u-04.png,be that as Labour M Ps opposed the
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003u\a01-003u-05.png,Government Bill which brought life peers
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003u\a01-003u-06.png,"into existence , they should not now put"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003u\a01-003u-07.png,forward nominees . He believes that the
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003u\a01-003u-08.png,House of Lords should be abolished and
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003u\a01-003u-09.png,that Labour should not take any steps
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003u\a01-003u-10.png,"which would appear to "" prop up "" an out-"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003x\a01-003x-01.png,large majority of Labour 0M Ps are likely to turn
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003x\a01-003x-04.png,"ment Bill which brought life peers into existence , they"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003x\a01-003x-05.png,should not now put forward nominees . He believes
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003x\a01-003x-06.png,that the House of Lords should be abolished and
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003x\a01-003x-07.png,that Labour should not take any steps which would
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-003x\a01-003x-08.png,"appear to "" prop up "" an out-dated institution ."
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007\a01-007-00.png,"Since 1958 , 13 Labour life Peers and"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007\a01-007-01.png,Peeresses have been created . Most Labour
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007\a01-007-02.png,sentiment would # still favour the abolition
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007\a01-007-03.png,"of the House of Lords , but while it remains"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007\a01-007-04.png,Labour has to have an adequate number of
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007\a01-007-05.png,members . THE two rival African Nationalist
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007\a01-007-06.png,Parties of Northern Rhodesia have agreed to
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007\a01-007-07.png,get together to face the challenge from Sir
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007\a01-007-08.png,"Roy Welensky , the Federal Premier ."
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007u\a01-007u-00.png,"Since 1958 , 13 Labour life Peers and"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007u\a01-007u-01.png,Peeresses have been created . Most Labour
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007u\a01-007u-02.png,sentiment would still favour the abolition
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007u\a01-007u-03.png,"of the House of Lords , but while it remains"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007u\a01-007u-04.png,Labour has to have an adequate number
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007u\a01-007u-05.png,of members . THE two rival African
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007u\a01-007u-06.png,Nationalist Parties of Northern Rhodesia
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007u\a01-007u-07.png,have agreed to get together to face
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007u\a01-007u-08.png,"the challenge from Sir Roy Welensky ,"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007u\a01-007u-09.png,the Federal Premier .
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007x\a01-007x-00.png,"Since 1958 , 13 Labour life Peers and #"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007x\a01-007x-01.png,Peeresses have been created . Most Labour sentiment
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007x\a01-007x-02.png,would still favour the abolition of the House
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007x\a01-007x-03.png,"of Lords , but while it remains Labour has to"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007x\a01-007x-04.png,have an adequate number of members . THE
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007x\a01-007x-05.png,two rival African Nationalist Parties of Northern
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007x\a01-007x-06.png,Rhodesia have agreed to get together to face the
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-007x\a01-007x-07.png,"challenge from Sir Roy Welensky , the Federal Premier ."
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-011\a01-011-00.png,Delegates from Mr. Kenneth Kaunda's United National Independence
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-011\a01-011-02.png,"National Congress ( 400,000 ) will meet in London today"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-011\a01-011-03.png,to discuss a common course of action . Sir Roy is
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-011\a01-011-04.png,violently opposed to Africans getting an elected majority
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-011\a01-011-05.png,"in Northern Rhodesia , but the Colonial Secretary ,"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-011\a01-011-06.png,"Mr. Iain Macleod , is insisting on a policy of change ."
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-011u\a01-011u-00.png,Delegates from Mr. Kenneth Kaunda's
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-011u\a01-011u-01.png,United National Independence Party
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-011u\a01-011u-02.png,"( 280,000 members ) and Mr. Harry Nkumbula's"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-011u\a01-011u-03.png,"African National Congress ( 400,000 ) will"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-011u\a01-011u-04.png,meet in London today to discuss a common
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-011u\a01-011u-05.png,course of action . Sir Roy is violently
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-011u\a01-011u-06.png,opposed to Africans getting an elected
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-011u\a01-011u-07.png,"majority in Northern Rhodesia , but the"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-011u\a01-011u-08.png,"Colonial Secretary , Mr. Iain Macleod ,"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-011u\a01-011u-09.png,is insisting on a policy of change .
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-011x\a01-011x-08.png,"Macleod , is insisting on a policy of change ."
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014\a01-014-00.png,Sir Roy's United Federal Party is boycotting
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014\a01-014-01.png,the London talks on the Protectorate's
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014\a01-014-02.png,future . Said Mr. Nkumbula last night :
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014\a01-014-03.png,""" We want to discuss what to do if the"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014\a01-014-04.png,British Government gives in to Sir Roy and
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014\a01-014-05.png,the talks fall through . There are bound
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014\a01-014-07.png,"chief aide , Mr. Julius Greenfield , telephoned"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014\a01-014-08.png,his chief a report on his talks with
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014\a01-014-09.png,Mr. Macmillan at Chequers .
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014u\a01-014u-00.png,Sir Roy's United Federal Party is
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014u\a01-014u-01.png,boycotting the London talks on the
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014u\a01-014u-03.png,"last night : "" We want to discuss what to"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014u\a01-014u-04.png,"do if the British demonstrations . """
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014u\a01-014u-05.png,"Yesterday Sir Roy's chief aide , Mr."
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014u\a01-014u-06.png,"Julius Greenfield , telephoned his chief"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014u\a01-014u-07.png,a report on his talks with Mr. Macmillan
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014u\a01-014u-08.png,at Chequers .
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014x\a01-014x-00.png,Sir Roy's United Federal Party is boycotting
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014x\a01-014x-01.png,the London talks on the Protectorate's
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014x\a01-014x-02.png,future . Said Mr. Nkumbula last night :
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014x\a01-014x-03.png,""" We want to discuss what to do if the"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014x\a01-014x-04.png,British Government gives in to Sir Roy
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014x\a01-014x-05.png,and the talks fall through . There are bound
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014x\a01-014x-06.png,"to be demonstrations . "" Yesterday Sir Roy's"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014x\a01-014x-07.png,"chief aide , Mr. Julius Greenfield , telephoned"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014x\a01-014x-08.png,his chief a report on his talks with Mr.
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-014x\a01-014x-09.png,Macmillan at Chequers .
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020\a01-020-00.png,Mr. Macleod went on with the conference at
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020\a01-020-01.png,Lancaster House despite the crisis which had
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020\a01-020-02.png,blown up . He has now revealed his full plans
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020\a01-020-03.png,to the Africans and Liberals attending . These
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020\a01-020-04.png,plans do not give the Africans the overall
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020\a01-020-05.png,majority they are seeking . African delegates
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020\a01-020-06.png,are studying them today . The conference
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020\a01-020-07.png,will meet to discuss the function of a
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020\a01-020-08.png,proposed House of Chiefs .
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020u\a01-020u-00.png,Mr. Macleod went on with the conference
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020u\a01-020u-01.png,at Lancaster House despite the crisis
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020u\a01-020u-02.png,which had blown up . He has now revealed
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020u\a01-020u-03.png,his full plans to the Africans and Liberals
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020u\a01-020u-04.png,attending . These plans do not give the
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020u\a01-020u-05.png,Africans the overall majority they are
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020u\a01-020u-06.png,seeking . African delegates are studying
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020u\a01-020u-07.png,them today . The conference will meet
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020u\a01-020u-08.png,to discuss the function of a proposed
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020u\a01-020u-09.png,House of Chiefs .
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020x\a01-020x-00.png,Mr. Macleod went on with the conference at
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020x\a01-020x-01.png,Lancaster House despite the crisis which had
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020x\a01-020x-02.png,blown up . He has now revealed his full plans
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020x\a01-020x-03.png,to the Africans and Liberals attending . These
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020x\a01-020x-04.png,plans do not give the Africans the overall majo-
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020x\a01-020x-05.png,rity they are seeking . African delegates are
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020x\a01-020x-06.png,studying them today . The conference will meet
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020x\a01-020x-07.png,to discuss the function of a proposed House
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-020x\a01-020x-08.png,of Chiefs .
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026\a01-026-00.png,"MR. IAIN MACLEOD , the Colonial Secretary , denied"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026\a01-026-01.png,in the Commons last night that there have been
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026\a01-026-03.png,The Northern Rhodesia conference in London has
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026\a01-026-04.png,been boycotted by the two main settlers' parties -
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026\a01-026-05.png,the United Federal Party and the Dominion Party .
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026\a01-026-06.png,"But representatives of Sir Roy Welensky , Prime"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026\a01-026-08.png,to Chequers at the week-end for talks with
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026\a01-026-09.png,Mr. Macmillan .
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026u\a01-026u-00.png,"MR. IAIN MACLEOD , the Colonial Secretary ,"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026u\a01-026u-01.png,denied in the Commons last night that
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026u\a01-026u-02.png,there have been secret negotiations on
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026u\a01-026u-03.png,Northern Rhodesia's future . The Northern
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026u\a01-026u-04.png,Rhodesia conference in London has been
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026u\a01-026u-05.png,boycotted by the two main settlers' parties -
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026u\a01-026u-06.png,the United Federal Party and the Dominion
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026u\a01-026u-07.png,Party . But representatives of Sir Roy
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026u\a01-026u-08.png,"Welensky , Prime Minister of the Central"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026u\a01-026u-09.png,"African Federation , went to Chequers at"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026u\a01-026u-10.png,the week-end for talks with Mr. Macmillan .
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026x\a01-026x-00.png,"Mr. Iain Macleod , the Colonial Secretary , denied"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026x\a01-026x-01.png,in the Commons last night that there have
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026x\a01-026x-02.png,been secret negotiations on the Northern Rhodesia's
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026x\a01-026x-03.png,future . The Northern Rhodesia conference in
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026x\a01-026x-06.png,and the Dominion Party . But representatives
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026x\a01-026x-07.png,"of Sir Roy Welensky , Prime Minister of the"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026x\a01-026x-08.png,"Central African Federation , went to Chequers"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-026x\a01-026x-09.png,at the week-end for talks with Mr. Macmillan .
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-030\a01-030-00.png,Northern Rhodesia is a member of the Federation .
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-030\a01-030-02.png,"M Ps yesterday : "" I have no knowledge of secret negotiations . """
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-030\a01-030-03.png,He said Britain had an obligation to consult the Federal
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-030\a01-030-04.png,Government . But the final decision remained with the British
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-030\a01-030-06.png,said Sir Roy had no right to delay progress in the talks by
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-030\a01-030-07.png,refusing to sit round the conference table .
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-030u\a01-030u-00.png,Northern Rhodesia is a member of the Federation .
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-030u\a01-030u-01.png,Mr. Macleod was not at the week-end
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-030u\a01-030u-03.png,"have no knowledge of secret negotiations . """
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-030u\a01-030u-04.png,He said Britain had an obligation to consult
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-030u\a01-030u-05.png,the Federal Government . But the final
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-030u\a01-030u-06.png,decision remained with the British Government .
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-030u\a01-030u-07.png,"Mr. James Callaghan , Labour's Colonial"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-030u\a01-030u-08.png,"spokesman , said Sir Roy had no right to"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-030u\a01-030u-09.png,delay progress in the talks by refusing
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-030u\a01-030u-10.png,to sit round the conference table .
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-030x\a01-030x-00.png,Northern Rhodesia is a member of the Fede-
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-030x\a01-030x-01.png,ration . Mr. Macleod was not at the week-end
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-030x\a01-030x-02.png,"meeting . But he told M Ps yesterday : "" I"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-030x\a01-030x-03.png,"have no knowledge of secret negotiations . "" He"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-030x\a01-030x-04.png,said Britain had an obligation to consult
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-030x\a01-030x-06.png,"Labour's Colonial spokesman , said Sir Roy had"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-030x\a01-030x-07.png,no right to delay progress in the talks by
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-030x\a01-030x-08.png,refusing to sit round the conference table .
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-038\a01-038-00.png,Mr. Macleod thought the two Rhodesian
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-038\a01-038-01.png,parties had refused to attend the talks
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-038\a01-038-02.png,because Sir Roy had found messages
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-038\a01-038-03.png,"sent from the Government were "" unsatisfac-"
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-038\a01-038-05.png,day called on Mr. Macmillan to cease his
C:\Users\User\Documents\GitHub\HTR-VT_Bachelor\data\iam\lines\a01\a01-038\a01-038-06.png,"negotiations with Sir Roy's representative ,"
